State Name,Dist Name,Year,max_N_budjet_kg_ha,min_N_budjet_kg_ha,median_N_budjet_kg_ha,mean_N_budjet_kg_ha,percentile_95_N_budjet_kg_ha,percentile_5_N_budjet_kg_ha,percentile_75_N_budjet_kg_ha,percentile_25_N_budjet_kg_ha
Andaman & Nicobar Island,Nicobar,2000,,,,,,,,
Andaman & Nicobar Island,Nicobar,2001,,,,,,,,
Andaman & Nicobar Island,Nicobar,2002,,,,,,,,
Andaman & Nicobar Island,Nicobar,2003,,,,,,,,
Andaman & Nicobar Island,Nicobar,2004,,,,,,,,
Andaman & Nicobar Island,Nicobar,2005,,,,,,,,
Andaman & Nicobar Island,Nicobar,2006,,,,,,,,
Andaman & Nicobar Island,Nicobar,2007,,,,,,,,
Andaman & Nicobar Island,Nicobar,2008,,,,,,,,
Andaman & Nicobar Island,Nicobar,2009,,,,,,,,
Andaman & Nicobar Island,Nicobar,2010,,,,,,,,
Andaman & Nicobar Island,Nicobar,2011,,,,,,,,
Andaman & Nicobar Island,Nicobar,2012,,,,,,,,
Andaman & Nicobar Island,Nicobar,2013,,,,,,,,
Andaman & Nicobar Island,Nicobar,2014,,,,,,,,
Andaman & Nicobar Island,Nicobar,2015,,,,,,,,
Andaman & Nicobar Island,Nicobar,2016,,,,,,,,
Andaman & Nicobar Island,Nicobar,2017,,,,,,,,
Andaman & Nicobar Island,Nicobar,2018,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1965,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1966,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1967,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1968,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1969,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1970,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1971,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1972,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1973,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1974,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1975,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1976,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1977,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1978,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1979,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1980,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1981,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1982,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1983,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1984,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1985,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1986,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1987,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1988,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1989,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1990,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1991,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1992,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1993,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1994,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1995,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1996,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1997,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1998,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,1999,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2000,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2001,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2002,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2003,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2004,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2005,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2006,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2007,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2008,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2009,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2010,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2011,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2012,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2013,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2014,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2015,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2016,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2017,,,,,,,,
Andaman & Nicobar Island,North & Middle Andaman,2018,,,,,,,,
Andaman & Nicobar Island,South Andaman,1965,,,,,,,,
Andaman & Nicobar Island,South Andaman,1966,,,,,,,,
Andaman & Nicobar Island,South Andaman,1967,,,,,,,,
Andaman & Nicobar Island,South Andaman,1968,,,,,,,,
Andaman & Nicobar Island,South Andaman,1969,,,,,,,,
Andaman & Nicobar Island,South Andaman,1970,,,,,,,,
Andaman & Nicobar Island,South Andaman,1971,,,,,,,,
Andaman & Nicobar Island,South Andaman,1972,,,,,,,,
Andaman & Nicobar Island,South Andaman,1973,,,,,,,,
Andaman & Nicobar Island,South Andaman,1974,,,,,,,,
Andaman & Nicobar Island,South Andaman,1975,,,,,,,,
Andaman & Nicobar Island,South Andaman,1976,,,,,,,,
Andaman & Nicobar Island,South Andaman,1977,,,,,,,,
Andaman & Nicobar Island,South Andaman,1978,,,,,,,,
Andaman & Nicobar Island,South Andaman,1979,,,,,,,,
